boxer_name,boxrec_url,boxer_slug,id,boxrec_id
 Tommy Chapman,https://boxrec.com/en/proboxer/92636,boxrec,77761,92636
A Fu Bai,https://boxrec.com/en/proboxer/682592,a-fu-bai,73087,682592
A Plant,https://boxrec.com/en/proboxer/871313,a-plant,80104,871313
Aafeen Deen,https://boxrec.com/en/proboxer/801290,aafeen-deen,70377,801290
Aamir Ali,https://boxrec.com/en/proboxer/223194,aamir-ali,85817,223194
Aaron Brooks,https://boxrec.com/en/proboxer/756543,aaron-brooks,88689,756543
Aaron Brumfield,https://boxrec.com/en/proboxer/658,aaron-brumfield,81505,658
Aaron Chalmers,https://boxrec.com/en/proboxer/1098551,aaron-chalmers,84289,1098551
Aaron Chavez,https://boxrec.com/en/proboxer/449977,aaron-chavez,69697,449977
Aaron Conway,https://boxrec.com/en/proboxer/14712,aaron-conway,82944,14712
Aaron Crawley,https://boxrec.com/en/proboxer/606620,aaron-crawley,83001,606620
Aaron Davis,https://boxrec.com/en/box-pro/491,aaron-davis,90874,491
Aaron Diaz,https://boxrec.com/en/proboxer/649883,aaron-diaz,81228,649883
Aaron Dominguez,https://boxrec.com/en/proboxer/45723,aaron-dominguez,84690,45723
Aaron Dominguez,https://boxrec.com/en/box-pro/357331,aaron-dominguez_0,94178,357331
Aaron Edgett,https://boxrec.com/en/proboxer/255706,aaron-edgett,72249,255706
Aaron Ellis,https://boxrec.com/en/proboxer/59601,aaron-ellis,88187,59601
Aaron Garay Hurtado,https://boxrec.com/en/proboxer/877802,aaron-garay-hurtado,78680,877802
Aaron Garcia,https://boxrec.com/en/proboxer/272744,aaron-garcia,86567,272744
Aaron Gomez,https://boxrec.com/en/proboxer/618639,aaron-gomez,75910,618639
Aaron Hayden,https://boxrec.com/en/box-pro/869291,aaron-hayden,91504,869291
Aaron Herrera,https://boxrec.com/en/box-pro/61322,aaron-herrera,93280,61322
Aaron John Valentine,https://boxrec.com/en/proboxer/868611,aaron-john-valentine,83979,868611
Aaron King,https://boxrec.com/en/proboxer/671279,aaron-king_0,88584,671279
Aaron King,https://boxrec.com/en/proboxer/1044592,aaron-king,87802,1044592
Aaron Lai,https://boxrec.com/en/box-pro/564770,aaron-lai,91098,564770
Aaron Levy,https://boxrec.com/en/proboxer/246743,aaron-levy,80918,246743
Aaron Lopez Perez,https://boxrec.com/en/proboxer/1036077,aaron-lopez-perez,86520,1036077
Aaron Lyons,https://boxrec.com/en/proboxer/790299,aaron-lyons,86794,790299
Aaron Martinez,https://boxrec.com/en/proboxer/275233,aaron-martinez,70182,275233
Aaron Masterson,https://boxrec.com/en/proboxer/43338,aaron-masterson,86215,43338
Aaron Perez,https://boxrec.com/en/box-pro/830131,aaron-perez,94134,830131
Aaron Price,https://boxrec.com/en/proboxer/182180,aaron-price,75319,182180
Aaron Pryor,https://boxrec.com/en/proboxer/8993,aaron-pryor,68961,8993
Aaron Pryor Jr,https://boxrec.com/en/box-pro/325334,aaron-pryor-jr,93946,325334
Aaron Rivera,https://boxrec.com/en/proboxer/1027859,aaron-rivera,85772,1027859
Aaron Rodriguez,https://boxrec.com/en/proboxer/694519,aaron-rodriguez,85253,694519
Aaron Rosa,https://boxrec.com/en/proboxer/632721,aaron-rosa,75827,632721
Aaron Russell,https://boxrec.com/en/box-pro/553515,aaron-russell,92703,553515
Aaron Sanchez,https://boxrec.com/en/proboxer/240192,aaron-sanchez,73485,240192
Aaron Shaw,https://boxrec.com/en/proboxer/1064196,aaron-shaw,80896,1064196
Aaron Sheckles,https://boxrec.com/en/proboxer/63996,aaron-sheckles,79868,63996
Aaron Shockley,https://boxrec.com/en/proboxer/4365,aaron-shockley,82139,4365
Aaron Silva,https://boxrec.com/en/box-pro/926355,aaron-silva,91414,926355
Aaron Sinclair,https://boxrec.com/en/proboxer/849240,aaron-sinclair,77743,849240
Aaron Stahl,https://boxrec.com/en/proboxer/979313,aaron-stahl,69102,979313
Aaron Thomas,https://boxrec.com/en/proboxer/373094,aaron-thomas,80799,373094
Aaron Vargas Yerena,https://boxrec.com/en/proboxer/903902,aaron-vargas-yerena,79334,903902
Aaron Vaz,https://boxrec.com/en/proboxer/844948,aaron-vaz,76709,844948
Aaron Velez,https://boxrec.com/en/proboxer/486583,aaron-velez,75502,486583
Aasa Sandell,https://boxrec.com/en/proboxer/256352,aasa-sandell,77384,256352
Abass Baraou,https://boxrec.com/en/box-pro/832215,abass-baraou,93119,832215
Abbas Makki,https://boxrec.com/en/proboxer/711011,abbas-makki,71692,711011
Abdallah Abdallah,https://boxrec.com/en/proboxer/919009,abdallah-abdallah,88834,919009
Abdallah Tagawa,https://boxrec.com/en/proboxer/790006,abdallah-tagawa,80742,790006
Abdallah Yoba,https://boxrec.com/en/box-pro/866289,abdallah-yoba,91801,866289
Abdarhmane Coulibaly,https://boxrec.com/en/proboxer/850764,abdarhmane-coulibaly,83341,850764
Abddelhak Barbala,https://boxrec.com/en/proboxer/491009,abddelhak-barbala,76951,491009
