name,url,boxrec_id,slug,db_matched
Jake Paul,https://boxrec.com/en/box-pro/912383,912383,jake-paul,yes
Gervonta Davis,https://boxrec.com/en/box-pro/643387,643387,gervonta-davis,yes
Ryan Garcia,https://boxrec.com/en/box-pro/765995,765995,ryan-garcia,yes
Mike Tyson,https://boxrec.com/en/box-pro/474,474,mike-tyson,yes
Dmitrii Bivol,https://boxrec.com/en/box-pro/703924,703924,dmitry-bivol,yes
Saul Alvarez,https://boxrec.com/en/box-pro/348759,348759,canelo-alvarez,yes
Naoya Inoue,https://boxrec.com/en/box-pro/628407,628407,naoya-inoue,yes
Jaron Ennis,https://boxrec.com/en/box-pro/756515,756515,jaron-ennis,yes
Terence Crawford,https://boxrec.com/en/box-pro/447121,447121,terence-crawford,yes
David Benavidez,https://boxrec.com/en/box-pro/672259,672259,david-benavidez,yes
Isaac Cruz,https://boxrec.com/en/box-pro/714366,714366,isaac-cruz,yes
Amanda Serrano,https://boxrec.com/en/box-pro/488530,488530,amanda-serrano,yes
Tommy Fury,https://boxrec.com/en/box-pro/854141,854141,tommy-fury,yes
Artur Beterbiev,https://boxrec.com/en/box-pro/646981,646981,artur-beterbiev,yes
Jaime Munguia,https://boxrec.com/en/box-pro/659924,659924,jaime-munguia,yes
Lamont Roach,https://boxrec.com/en/box-pro/683920,683920,lamont-roach-jr,yes
Muhammad Ali,https://boxrec.com/en/box-pro/000180,000180,,no
Frank Martin,https://boxrec.com/fr/box-pro/814937,814937,frank-martin,yes
Rolando Romero,https://boxrec.com/en/box-pro/781366,781366,rolando-romero,yes
Israil Madrimov,https://boxrec.com/en/box-pro/851173,851173,israil-madrimov,yes
William Scull,https://boxrec.com/en/box-pro/779719,779719,,no
Deontay Wilder,https://boxrec.com/en/box-pro/468841,468841,deontay-wilder,yes
Keyshawn Davis,https://boxrec.com/de/box-pro/861063,861063,keyshawn-davis,yes
Tyson Fury,https://boxrec.com/en/box-pro/479205,479205,tyson-fury,yes
Shakur Stevenson,https://boxrec.com/en/box-pro/790719,790719,shakur-stevenson,yes
Floyd Mayweather Jr,https://boxrec.com/en/box-pro/352,352,floyd-mayweather-jr,yes
Teofimo Lopez,https://boxrec.com/en/box-pro/776269,776269,teofimo-lopez,yes
Regis Prograis,https://boxrec.com/en/box-pro/611370,611370,regis-prograis,yes
Vasyl Lomachenko,https://boxrec.com/en/box-pro/659771,659771,vasyl-lomachenko,yes
Ben Whittaker,https://boxrec.com/en/box-pro/851665,851665,ben-whittaker,yes
Andy Ruiz,https://boxrec.com/en/box-pro/489762,489762,andy-ruiz-jr,yes
Emiliano Vargas,https://boxrec.com/es/box-pro/1055950,1055950,emiliano-vargas,yes
Manny Pacquiao,https://boxrec.com/en/box-pro/6129,6129,manny-pacquiao,yes
Oleksandr Usyk,https://boxrec.com/en/box-pro/659772,659772,oleksandr-usyk,yes
David Morrell,https://boxrec.com/en/box-pro/852450,852450,david-morrell-jr,yes
Caleb Plant,https://boxrec.com/en/box-pro/684493,684493,caleb-plant,yes
Terrel Williams,https://boxrec.com/en/box-pro/471653,471653,terrel-williams,yes
