#,Title,URL,Traffic
1,Mike Tyson,https://boxrec.com/en/box-pro/474,38140
2,Jake Paul,https://boxrec.com/en/box-pro/912383,36887
3,Gervonta Davis,https://boxrec.com/en/box-pro/643387,30995
4,Ryan Garcia,https://boxrec.com/en/box-pro/765995,25574
5,Saul Alvarez,https://boxrec.com/en/box-pro/348759,19946
6,Naoya Inoue,https://boxrec.com/en/box-pro/628407,16791
7,Isaac Cruz,https://boxrec.com/en/box-pro/714366,14897
8,Dmitrii Bivol,https://boxrec.com/en/box-pro/703924,14741
9,Jaime Munguia,https://boxrec.com/en/box-pro/659924,14728
10,David Benavidez,https://boxrec.com/en/box-pro/672259,13718
11,Terence Crawford,https://boxrec.com/en/box-pro/447121,12889
13,Floyd Mayweather Jr,https://boxrec.com/en/box-pro/352,11387
14,Oleksandr Usyk,https://boxrec.com/en/box-pro/659772,9870
15,Rolando Romero,https://boxrec.com/en/box-pro/781366,9815
17,Amanda Serrano,https://boxrec.com/en/box-pro/488530,9482
18,Ebanie Bridges,https://boxrec.com/en/box-pro/864345,7579
19,Caleb Plant,https://boxrec.com/en/box-pro/684493,7552
20,Tyson Fury,https://boxrec.com/en/box-pro/479205,7210
21,Gennadiy Golovkin,https://boxrec.com/en/box-pro/356831,6997
22,Tommy Fury,https://boxrec.com/en/box-pro/854141,6306
25,William Scull,https://boxrec.com/en/box-pro/779719,5794
27,Israil Madrimov,https://boxrec.com/en/box-pro/851173,5524
28,Floyd Schofield,https://boxrec.com/en/box-pro/936958,5358
29,Vasyl Lomachenko,https://boxrec.com/en/box-pro/659771,4999
30,Andy Ruiz,https://boxrec.com/en/box-pro/489762,4962
32,David Morrell,https://boxrec.com/en/box-pro/852450,4625
34,Terrel Williams,https://boxrec.com/en/box-pro/471653,4549
35,Daniel Dubois,https://boxrec.com/en/box-pro/787430,4412
36,Manny Pacquiao,https://boxrec.com/en/box-pro/6129,4383
37,Chris Eubank Jr,https://boxrec.com/en/box-pro/588468,4150
39,Jermall Charlo,https://boxrec.com/en/box-pro/471634,3922
40,Devin Haney,https://boxrec.com/en/box-pro/741718,3634
41,Shakur Stevenson,https://boxrec.com/en/box-pro/790719,3425
42,Danny Garcia,https://boxrec.com/en/box-pro/429442,3379
43,Zhilei Zhang,https://boxrec.com/en/box-pro/692149,3337
44,Deontay Wilder,https://boxrec.com/en/box-pro/468841,3305
