name,url
Jake Paul,https://boxrec.com/en/box-pro/912383
Gervonta Davis,https://boxrec.com/en/box-pro/643387
Ryan Garcia,https://boxrec.com/en/box-pro/765995
Mike Tyson,https://boxrec.com/en/box-pro/474
Dmitrii Bivol,https://boxrec.com/en/box-pro/703924
Saul Alvarez,https://boxrec.com/en/box-pro/348759
Naoya Inoue,https://boxrec.com/en/box-pro/628407
Jaron Ennis,https://boxrec.com/en/box-pro/756515
Terence Crawford,https://boxrec.com/en/box-pro/447121
David Benavidez,https://boxrec.com/en/box-pro/672259
Isaac Cruz,https://boxrec.com/en/box-pro/714366
Amanda Serrano,https://boxrec.com/en/box-pro/488530
Tommy Fury,https://boxrec.com/en/box-pro/854141
Artur Beterbiev,https://boxrec.com/en/box-pro/646981
Jaime Munguia,https://boxrec.com/en/box-pro/659924
Lamont Roach,https://boxrec.com/en/box-pro/683920
Muhammad Ali,https://boxrec.com/en/box-pro/000180
Frank Martin,https://boxrec.com/fr/box-pro/814937
Rolando Romero,https://boxrec.com/en/box-pro/781366
Israil Madrimov,https://boxrec.com/en/box-pro/851173
William Scull,https://boxrec.com/en/box-pro/779719
Deontay Wilder,https://boxrec.com/en/box-pro/468841
Keyshawn Davis,https://boxrec.com/de/box-pro/861063
Tyson Fury,https://boxrec.com/en/box-pro/479205
Shakur Stevenson,https://boxrec.com/en/box-pro/790719
Floyd Mayweather Jr,https://boxrec.com/en/box-pro/352
Teofimo Lopez,https://boxrec.com/en/box-pro/776269
Regis Prograis,https://boxrec.com/en/box-pro/611370
Vasyl Lomachenko,https://boxrec.com/en/box-pro/659771
Ben Whittaker,https://boxrec.com/en/box-pro/851665
Andy Ruiz,https://boxrec.com/en/box-pro/489762
Emiliano Vargas,https://boxrec.com/es/box-pro/1055950
Manny Pacquiao,https://boxrec.com/en/box-pro/6129
Oleksandr Usyk,https://boxrec.com/en/box-pro/659772
David Morrell,https://boxrec.com/en/box-pro/852450
Caleb Plant,https://boxrec.com/en/box-pro/684493
Terrel Williams,https://boxrec.com/en/box-pro/471653
Daniel Dubois,https://boxrec.com/en/box-pro/787430
Jesse Rodriguez,https://boxrec.com/en/box-pro/791293
Ebanie Bridges,https://boxrec.com/en/box-pro/864345
Vergil Ortiz Jr,https://boxrec.com/en/box-pro/766727
Jermell Charlo,https://boxrec.com/en/box-pro/433135
Errol Spence Jr,https://boxrec.com/en/box-pro/629465
Jermall Charlo,https://boxrec.com/en/box-pro/471634
Brandon Figueroa,https://boxrec.com/en/box-pro/718399
Edgar Berlanga,https://boxrec.com/ru/box-pro/760625
Luis Alcaraz Pineda,https://boxrec.com/fr/box-pro/797597
Danny Garcia,https://boxrec.com/en/box-pro/429442
Yordenis Ugas,https://boxrec.com/en/box-pro/541777
Devin Haney,https://boxrec.com/en/box-pro/741718
Zhilei Zhang,https://boxrec.com/en/box-pro/692149
Claressa Shields,https://boxrec.com/en/box-pro/777865
Cherneka Johnson,https://boxrec.com/en/box-pro/745360
Subriel Matias,https://boxrec.com/en/box-pro/749669
Diego Pacheco,https://boxrec.com/en/box-pro/865105
Oscar Valdez,https://boxrec.com/en/box-pro/629933
Martin Bakole,https://boxrec.com/en/box-pro/681602
Chris Eubank Jr,https://boxrec.com/en/box-pro/588468
Julio Cesar Chavez,https://boxrec.com/en/box-pro/8119
Gennadiy Golovkin,https://boxrec.com/en/box-pro/356831
Roy Jones Jr,https://boxrec.com/en/box-pro/774820
Skye Nicolson,https://boxrec.com/en/box-pro/886826
Mario Barrios,https://boxrec.com/en/box-pro/665878
Floyd Schofield,https://boxrec.com/en/box-pro/936958
Anthony Joshua,https://boxrec.com/en/box-pro/659461
Prichard Colon,https://boxrec.com/en/box-pro/642596
George Foreman,https://boxrec.com/en/box-pro/90
Demetrius Andrade,https://boxrec.com/en/box-pro/468433
Mauricio Lara,https://boxrec.com/en/box-pro/783107
William Zepeda Segura,https://boxrec.com/en/box-pro/744388
Katie Taylor,https://boxrec.com/en/box-pro/778185
Rashidi Ellis,https://boxrec.com/de/box-pro/658226
Edgar Berlanga,https://boxrec.com/en/box-pro/760625
Andre August,https://boxrec.com/fr/box-pro/651075
Brian Norman Jr,https://boxrec.com/en/box-pro/824560
Joseph Parker,https://boxrec.com/en/box-pro/613846
George Kambosos Jr,https://boxrec.com/en/box-pro/646781
Julio Cesar Chavez Jr,https://boxrec.com/en/box-pro/214371
Callum Smith,https://boxrec.com/en/box-pro/631178
Arnold Barboza Jr,https://boxrec.com/en/box-pro/655301
Jared Anderson,https://boxrec.com/fr/box-pro/861332
Logan Paul,https://boxrec.com/en/box-pro/896698
Steve Harvey,https://boxrec.com/fr/box-pro/5068
Bernard Hopkins,https://boxrec.com/en/box-pro/1414
Jose Carlos Ramirez,https://boxrec.com/en/box-pro/632104
Emanuel Navarrete,https://boxrec.com/en/box-pro/602423
Sebastian Fundora,https://boxrec.com/en/box-pro/773847
Lennox Lewis,https://boxrec.com/en/box-pro/1853
Dillian Whyte,https://boxrec.com/en/box-pro/569964
Neeraj Goyat,https://boxrec.com/en/box-pro/588733
Joe Joyce,https://boxrec.com/en/box-pro/811429
Hector Luis Garcia,https://boxrec.com/en/box-pro/783383
Miguel Cotto,https://boxrec.com/en/box-pro/33535
Nico Ali Walsh,https://boxrec.com/en/box-pro/923208
Jarrell Miller,https://boxrec.com/en/box-pro/498837
Abel Ramos,https://boxrec.com/en/box-pro/579465
Adrien Broner,https://boxrec.com/en/box-pro/455859
Ryan Bourland,https://boxrec.com/en/box-pro/665966
Xander Zayas,https://boxrec.com/fr/box-pro/872417
Chris Eubank,https://boxrec.com/en/box-pro/804
Oscar Duarte Jurado,https://boxrec.com/en/box-pro/671857
Roberto Duran,https://boxrec.com/en/box-pro/80
Brandun Lee,https://boxrec.com/en/box-pro/784150
Alexis Rocha,https://boxrec.com/en/box-pro/746813
James Toney,https://boxrec.com/en/box-pro/1437
Chantelle Cameron,https://boxrec.com/en/box-pro/799973
Lisa Holewyne,https://boxrec.com/en/box-pro/18796
Ashton Sylve,https://boxrec.com/de/box-pro/969457
Jose Benavidez Jr,https://boxrec.com/en/box-pro/525227
Jose Valenzuela,https://boxrec.com/de/box-pro/847406
Luis Nery,https://boxrec.com/en/box-pro/611983
Erickson Lubin,https://boxrec.com/en/box-pro/670934
Richardson Hitchins,https://boxrec.com/en/box-pro/787807
Stephen Fulton,https://boxrec.com/en/box-pro/700183
Richard Torrez Jr,https://boxrec.com/en/box-pro/861066
Bektemir Melikuziev,https://boxrec.com/en/box-pro/851162
Miguel Berchelt,https://boxrec.com/en/box-pro/553222
Robert Helenius,https://boxrec.com/en/box-pro/451505
Ramon Cardenas,https://boxrec.com/en/box-pro/726502
Subriel Matias,https://boxrec.com/es/proboxer/749669
Devin Haney,https://boxrec.com/cn/box-pro/741718
Andre Ward,https://boxrec.com/en/box-pro/281958
Gary Antuanne Russell,https://boxrec.com/en/box-pro/789597
Eric Esch,https://boxrec.com/en/box-pro/14536
Gabriel Rosado,https://boxrec.com/en/box-pro/344539
Tony Bellew,https://boxrec.com/en/box-pro/425328
Christian Mbilli,https://boxrec.com/en/box-pro/785657
John Fury,https://boxrec.com/en/box-pro/27680
Joe Smith Jr,https://boxrec.com/en/box-pro/513839
Paul Bamba,https://boxrec.com/cn/box-pro/987926
Artem Harutyunyan,https://boxrec.com/en/box-pro/816198
Billy Joe Saunders,https://boxrec.com/en/box-pro/482499
Junto Nakatani,https://boxrec.com/en/box-pro/718508
Abraham Nova,https://boxrec.com/en/box-pro/757058
Shawn Porter,https://boxrec.com/en/box-pro/472133
Gilberto Ramirez,https://boxrec.com/en/box-pro/509666
Kali Reis,https://boxrec.com/en/box-pro/466374
Gary Allen Russell Jr,https://boxrec.com/en/box-pro/479775
Anthony Dirrell,https://boxrec.com/en/box-pro/291908
Shane Mosley,https://boxrec.com/en/box-pro/4952
Misael Rodriguez Olivas,https://boxrec.com/en/box-pro/791795
Nate Robinson,https://boxrec.com/en/box-pro/947668
Seniesa Estrada,https://boxrec.com/en/box-pro/567517
Conor Benn,https://boxrec.com/cn/box-pro/750377
Denys Berinchyk,https://boxrec.com/en/box-pro/727039
Karen Chukhadzhian,https://boxrec.com/en/box-pro/718379
Nonito Donaire,https://boxrec.com/en/box-pro/48243
Evander Holyfield,https://boxrec.com/en/box-pro/499
Joe Frazier,https://boxrec.com/en/box-pro/000147
Jai Opetaia,https://boxrec.com/en/box-pro/719823
Keith Thurman,https://boxrec.com/en/box-pro/426053
Viddal Riley,https://boxrec.com/en/box-pro/862236
O'Shaquie Foster,https://boxrec.com/en/box-pro/626343
Luis Alberto Lopez,https://boxrec.com/en/box-pro/741197
Eduardo Nunez,https://boxrec.com/en/box-pro/733152
Eimantas Stanionis,https://boxrec.com/en/box-pro/791796
Amir Khan,https://boxrec.com/en/box-pro/314558
Bruno Surace,https://boxrec.com/cn/box-pro/776553
Steven Nelson,https://boxrec.com/en/box-pro/745618
Moses Itauma,https://boxrec.com/en/box-pro/1039567
Erislandy Lara,https://boxrec.com/en/box-pro/457231
Israel Vazquez,https://boxrec.com/en/box-pro/009086
Joe Cordina,https://boxrec.com/en/box-pro/794105
Victor Ortiz,https://boxrec.com/en/box-pro/257314
Jamaine Ortiz,https://boxrec.com/en/box-pro/755909
John Gotti III,https://boxrec.com/ru/box-pro/1111513
Edwin De Los Santos,https://boxrec.com/de/box-pro/854612
Zhanibek Alimkhanuly,https://boxrec.com/en/box-pro/774417
Bruce Carrington,https://boxrec.com/en/box-pro/851120
Michael Conlan,https://boxrec.com/en/box-pro/777151
Sunny Edwards,https://boxrec.com/en/box-pro/775118
Trevor McCumby,https://boxrec.com/en/box-pro/550236
Liam Paro,https://boxrec.com/en/box-pro/749212
Marc Castro,https://boxrec.com/en/box-pro/861529
Jorge Paez,https://boxrec.com/en/box-pro/468
Hector Garcia,https://boxrec.com/en/box-pro/752478
Erik Bazinyan,https://boxrec.com/en/box-pro/663953
Julio Gomez,https://boxrec.com/en/box-pro/865484
Brian Carlos Castano,https://boxrec.com/en/box-pro/625137
Lucas Bahdi,https://boxrec.com/en/box-pro/862481
Joey Dawejko,https://boxrec.com/en/box-pro/512687
Bakhram Murtazaliev,https://boxrec.com/en/box-pro/689777
David Avanesyan,https://boxrec.com/en/box-pro/499476
Giovani Santillan,https://boxrec.com/en/box-pro/612589
Brock Jarvis,https://boxrec.com/en/box-pro/746323
Keon Davis,https://boxrec.com/de/box-pro/904886
Chris Arreola,https://boxrec.com/en/box-pro/212248
Tenshin Nasukawa,https://boxrec.com/en/box-pro/853210
Andre Berto,https://boxrec.com/en/box-pro/283680
Rey Vargas,https://boxrec.com/en/box-pro/542148
Montana Love,https://boxrec.com/en/box-pro/717953
Pedro Campa,https://boxrec.com/en/box-pro/578516
Leo Santa Cruz,https://boxrec.com/en/box-pro/374624
Sergey Kovalev,https://boxrec.com/en/box-pro/505927
Curmel Moton,https://boxrec.com/ru/box-pro/1066345
Tevin Farmer,https://boxrec.com/en/box-pro/562946
Chase Demoor,https://boxrec.com/ru/box-pro/1121210
Jamel Herring,https://boxrec.com/en/box-pro/634455
Amado Vargas,https://boxrec.com/de/box-pro/865372
Anthony Yarde,https://boxrec.com/en/box-pro/716443
Ismael Barroso,https://boxrec.com/en/box-pro/326019
Abdullah Mason,https://boxrec.com/en/box-pro/1039246
Roman Gonzalez,https://boxrec.com/en/box-pro/319725
Derek Hinkey,https://boxrec.com/en/box-pro/384998
Joet Gonzalez,https://boxrec.com/en/box-pro/619127
Luis Arias,https://boxrec.com/en/box-pro/632077
Sandy Ryan,https://boxrec.com/de/box-pro/886821
Tim Tszyu,https://boxrec.com/de/box-pro/783149
Shadasia Green,https://boxrec.com/en/box-pro/866213
James Douglas,https://boxrec.com/en/box-pro/584
Mitch Green,https://boxrec.com/en/box-pro/3171
David Lemieux,https://boxrec.com/en/box-pro/389447
Sean Garcia,https://boxrec.com/fr/box-pro/825248
Olajide William Olatunji,https://boxrec.com/en/box-pro/896699
Elijah Garcia,https://boxrec.com/en/box-pro/927452
Serhii Bohachuk,https://boxrec.com/en/box-pro/788164
Francis Ngannou,https://boxrec.com/en/box-pro/1170712
Muhammad Ali,https://boxrec.com/en/box-pro/180
Conor Benn,https://boxrec.com/en/box-pro/750377
Raymond Muratalla,https://boxrec.com/en/box-pro/775203
Andy Cruz,https://boxrec.com/en/box-pro/850276
Joseph Pedroza Diaz Jr,https://boxrec.com/en/box-pro/634717
Marco Antonio Barrera,https://boxrec.com/en/box-pro/8010
Jesus Alejandro Ramos Jr,https://boxrec.com/en/box-pro/838652
Tony Harrison,https://boxrec.com/en/box-pro/574588
Curtis Harper,https://boxrec.com/en/box-pro/528952
Naseem Hamed,https://boxrec.com/en/box-pro/4462
Felix Trinidad,https://boxrec.com/en/box-pro/3254
Blair Cobbs,https://boxrec.com/fr/box-pro/659411
Roman Fury,https://boxrec.com/fr/box-pro/1106234
Eric Crumble,https://boxrec.com/en/box-pro/5316
Liam Smith,https://boxrec.com/en/box-pro/466535
Alberto Puello,https://boxrec.com/en/box-pro/713680
Alan Picasso Romero,https://boxrec.com/en/box-pro/793753
Jorge Linares,https://boxrec.com/en/box-pro/157610
John Ryder,https://boxrec.com/en/box-pro/545557
Charles Conwell,https://boxrec.com/en/box-pro/791994
Marlon Tapales,https://boxrec.com/en/box-pro/482863
Jose Zepeda,https://boxrec.com/en/box-pro/523667
Timothy Bradley Jr,https://boxrec.com/en/box-pro/268173
Malik Scott,https://boxrec.com/en/box-pro/35680
Oscar De La Hoya,https://boxrec.com/de/box-pro/8253
Michel Rivera,https://boxrec.com/en/box-pro/752024
Juan Francisco Estrada,https://boxrec.com/en/box-pro/467843
Muhammad Ali,https://boxrec.com/es/box-pro/180
Efe Ajagba,https://boxrec.com/en/box-pro/804221
Ray Robinson,https://boxrec.com/en/box-pro/9625
Ray Leonard,https://boxrec.com/en/box-pro/000269
Jose Armando Resendiz,https://boxrec.com/fr/box-pro/827946
Lester Martinez,https://boxrec.com/en/box-pro/858028
Angel Fierro,https://boxrec.com/en/box-pro/739512
Badou Jack,https://boxrec.com/en/box-pro/497268
Juan Manuel Marquez,https://boxrec.com/en/box-pro/12222
Iyana Verduzco,https://boxrec.com/en/box-pro/870905
Bill Haney,https://boxrec.com/en/box-pro/859729
Giovanni Cabrera,https://boxrec.com/en/box-pro/756050
Erik Morales,https://boxrec.com/en/box-pro/5065
Larry Holmes,https://boxrec.com/en/box-pro/150
Yuriorkis Gamboa,https://boxrec.com/en/box-pro/391770
Anthony Taylor,https://boxrec.com/en/box-pro/801086
Shannon Briggs,https://boxrec.com/en/box-pro/4629
Dujuan Johnson,https://boxrec.com/en/box-pro/12987
Callum Walsh,https://boxrec.com/en/box-pro/981388
Sandor Martin,https://boxrec.com/en/box-pro/578364
Kostya Tszyu,https://boxrec.com/en/box-pro/004388
Otto Wallin,https://boxrec.com/en/box-pro/651121
Elwin Soto,https://boxrec.com/en/box-pro/778096
Shane Mosley Jr,https://boxrec.com/en/box-pro/682169
Jarrett Hurd,https://boxrec.com/en/box-pro/625960
Lawrence Okolie,https://boxrec.com/en/box-pro/789060
Omar Chavez,https://boxrec.com/en/box-pro/359993
